Name of Covered Entity,State,Covered Entity Type,Individuals Affected,Breach Submission Date,Type of Breach,Location of Breached Information,Business Associate Present,Web Description
"Financial Business and Consumer Solutions, Inc.",PA,Business Associate,117567,06/04/2024,Hacking/IT Incident,Network Server,Yes,
"Wilson & Company, Inc., Engineers & Architects Health and Welfare Benefit Plan",NM,Health Plan,1867,06/04/2024,Hacking/IT Incident,Network Server,No,
Woodfords Family Services ,ME,Healthcare Provider,500,06/03/2024,Hacking/IT Incident,"Desktop Computer, Electronic Medical Record, Email, Network Server",No,
Mending Minds LLC dba Walnut Creek Psychiatry,IA,Healthcare Provider,733,06/01/2024,Unauthorized Access/Disclosure,Electronic Medical Record,No,
Delta Specialty Hospital,TN,Healthcare Provider,500,05/31/2024,Hacking/IT Incident,Email,No,
"Crestwyn Behavioral Health Hospital, Inc.",TN,Healthcare Provider,500,05/31/2024,Hacking/IT Incident,Email,No,
Easterseals Central Illinois,IL,Healthcare Provider,500,05/31/2024,Hacking/IT Incident,Network Server,No,
"AmerisourceBergen Specialty Group, LLC",PA,Healthcare Provider,3102,05/31/2024,Hacking/IT Incident,Network Server,No,
"FC Compassus, LLC ",TN,Healthcare Provider,1383,05/31/2024,Hacking/IT Incident,Email,No,
"Florida Digestive Health Specialists, LLP",FL,Healthcare Provider,3205,05/27/2024,Hacking/IT Incident,Network Server,No,
"iCircle Services of the Finger Lakes, Inc.",NY,Health Plan,3414,05/24/2024,Hacking/IT Incident,Email,No,
Montefiore Einstein Advance Care,NY,Healthcare Provider,2356,05/24/2024,Hacking/IT Incident,Network Server,No,
"AmerisourceBergen Specialty Group, LLC",PA,Healthcare Provider,252214,05/24/2024,Hacking/IT Incident,Network Server,No,
A&A Services d/b/a Sav-Rx,NE,Business Associate,2812336,05/24/2024,Hacking/IT Incident,Network Server,Yes,
City of St. Cloud,FL,Health Plan,501,05/24/2024,Hacking/IT Incident,Network Server,No,
"ALN Medical Management, LLC",NE,Business Associate,501,05/23/2024,Hacking/IT Incident,Network Server,Yes,
Tri-City Healthcare District,CA,Healthcare Provider,108149,05/23/2024,Hacking/IT Incident,Network Server,No,
"Trionfo Solutions, LLC",IL,Business Associate,81588,05/22/2024,Hacking/IT Incident,Network Server,Yes,
Multnomah County Health Department,OR,Healthcare Provider,1092,05/20/2024,Unauthorized Access/Disclosure,Laptop,No,
Omni Healthcare Financial Holdings,NC,Business Associate,16852,05/18/2024,Hacking/IT Incident,Other,Yes,
"Gastroenterology Associates of Central Florida, P.A./ Center for Digestive Health",FL,Healthcare Provider,121693,05/17/2024,Hacking/IT Incident,Network Server,No,
El Centro Del Barrio d/b/a CentroMed,TX,Healthcare Provider,400000,05/17/2024,Hacking/IT Incident,Network Server,No,
Victoria Eye Center/Victoria Surgery Center/Victoria Vision Center,TX,Healthcare Provider,80000,05/17/2024,Hacking/IT Incident,Network Server,No,
"Brockton Area Multi Services, Inc.",MA,Healthcare Provider,21537,05/16/2024,Hacking/IT Incident,Network Server,No,
"Pope & Conner Consulting, Inc.",WI,Business Associate,1035,05/15/2024,Hacking/IT Incident,Email,Yes,
Tobii Dynavox,PA,Healthcare Provider,1098,05/14/2024,Hacking/IT Incident,Email,No,
"Hypertension-Nephrology Associates, P.C. ",PA,Healthcare Provider,39491,05/14/2024,Hacking/IT Incident,"Electronic Medical Record, Network Server",No,
Badalamenti-Ferlito Orthodontics,MI,Healthcare Provider,1427,05/14/2024,Unauthorized Access/Disclosure,Desktop Computer,No,
"Superior Air-Ground Ambulance Service, Inc. ",IL,Healthcare Provider,858238,05/10/2024,Hacking/IT Incident,Network Server,No,
Texas Panhandle Centers,TX,Healthcare Provider,16394,05/09/2024,Hacking/IT Incident,Network Server,No,
"WebTPA Employer Services, LLC (“WebTPA”)",TX,Business Associate,2518533,05/08/2024,Hacking/IT Incident,Network Server,Yes,
1st Choice Home Care,AR,Healthcare Provider,2700,05/08/2024,Unauthorized Access/Disclosure,Electronic Medical Record,No,
Winter Haven Hospital,FL,Healthcare Provider,2101,05/08/2024,Unauthorized Access/Disclosure,Email,No,
Delta Specialty Hospital,TN,Healthcare Provider,1019,05/08/2024,Unauthorized Access/Disclosure,Email,No,
Watson Clinic,FL,Healthcare Provider,280278,05/08/2024,Hacking/IT Incident,Network Server,No,
Kenneth Young Center,IL,Healthcare Provider,501,05/06/2024,Hacking/IT Incident,Network Server,No,
Panoramic Health,AZ,Business Associate,5445,05/03/2024,Hacking/IT Incident,Email,Yes,
Aetna ACE,CT,Health Plan,9191,05/03/2024,Hacking/IT Incident,Network Server,Yes,
Grayson & Associates,AL,Healthcare Provider,573,05/03/2024,Hacking/IT Incident,Desktop Computer,No,
"United Seating and Mobility, L.L.C., d/b/a Numotion",TN,Healthcare Provider,602265,05/01/2024,Hacking/IT Incident,Network Server,No,
UnitedHealthcare Insurance Company,CT,Business Associate,16665,05/01/2024,Unauthorized Access/Disclosure,Paper/Films,Yes,
AMERICAN RENAL MANAGEMENT,TN,Business Associate,501,04/29/2024,Hacking/IT Incident,Network Server,Yes,
Signature Healthcare Services LLC,CA,Business Associate,14696,04/27/2024,Hacking/IT Incident,Network Server,Yes,
"Guardant Health, Inc.",CA,Healthcare Provider,9309,04/26/2024,Unauthorized Access/Disclosure,Other,No,
"LivaNova USA, Inc.",TX,Business Associate,180000,04/26/2024,Hacking/IT Incident,Network Server,Yes,
"Forefront Dermatology, S.C. d/b/a Premier Dermatology",IL,Healthcare Provider,2297,04/26/2024,Hacking/IT Incident,Email,No,
Justice Resource Institute,MA,Healthcare Provider,23118,04/26/2024,Hacking/IT Incident,Network Server,No,
Empath-Stratum Inc. doing business as  Empath Health,FL,Healthcare Provider,5545,04/25/2024,Hacking/IT Incident,Email,No,
Therapeutic Health Services ,WA,Healthcare Provider,501,04/25/2024,Hacking/IT Incident,Network Server,No,
Kootenai Health,ID,Healthcare Provider,464088,04/24/2024,Hacking/IT Incident,Network Server,No,
"Medical Billing Specialists, Inc.",MA,Business Associate,43673,04/24/2024,Hacking/IT Incident,Network Server,Yes,
NorthBay Healthcare Corporation,CA,Healthcare Provider,569012,04/23/2024,Hacking/IT Incident,Network Server,No,
Cape Fear Aesthetics,NC,Healthcare Provider,1165,04/23/2024,Hacking/IT Incident,Network Server,No,
The Prudential Insurance Company of America,NJ,Health Plan,36092,04/22/2024,Hacking/IT Incident,Network Server,No,
"South Texas Oncology and Hematology, PLLC",TX,Healthcare Provider,175195,04/19/2024,Hacking/IT Incident,"Desktop Computer, Network Server",No,
"Cumberland Heights Foundation, Inc. ",TN,Healthcare Provider,5078,04/19/2024,Hacking/IT Incident,Email,No,
"Bridgeway Center, Inc.",FL,Healthcare Provider,36353,04/19/2024,Hacking/IT Incident,Network Server,No,
Montgomery County Board of Developmental Disabilities Services,OH,Business Associate,8819,04/18/2024,Hacking/IT Incident,Network Server,Yes,
"Hospice of the Bluegrass, Inc. dba Bluegrass Care Navigators",KY,Healthcare Provider,2282,04/17/2024,Hacking/IT Incident,Email,No,
Orthopedic and Fracture Clinic dba West Idaho Orthopedics and Sports Medicine,ID,Healthcare Provider,5000,04/17/2024,Hacking/IT Incident,Network Server,No,
"Kaiser Foundation Health Plan, Inc.",CA,Health Plan,13400000,04/12/2024,Unauthorized Access/Disclosure,Network Server,No,
Rebound Orthopedics & Neurosurgery,WA,Healthcare Provider,500,04/10/2024,Hacking/IT Incident,Network Server,No,
"Spurwink Services, Inc.",MS,Healthcare Provider,27332,04/09/2024,Hacking/IT Incident,Network Server,No,
"Knowles Smith & Associates, d/b/a Village Family Dental ",NC,Healthcare Provider,240214,04/08/2024,Hacking/IT Incident,Network Server,No,
Group Health Cooperative of South Central Wisconsin,WI,Health Plan,533809,04/08/2024,Hacking/IT Incident,Network Server,No,
"Island Ambulatory Surgery Center, LLC ",NY,Healthcare Provider,7900,04/05/2024,Hacking/IT Incident,Network Server,No,
Sleep Management Institute,OH,Healthcare Provider,500,04/05/2024,Hacking/IT Incident,Network Server,No,
"Gaia Software, LLC",CO,Business Associate,56676,04/05/2024,Hacking/IT Incident,Network Server,Yes,
"BlueCross BlueShield of Tennessee, Inc. ",TN,Business Associate,550,04/05/2024,Unauthorized Access/Disclosure,Other,Yes,
"Jackson Medical Center, LLC",AL,Healthcare Provider,509,04/05/2024,Hacking/IT Incident,Network Server,No,
UNC Hospitals,NC,Healthcare Provider,3142,04/02/2024,Hacking/IT Incident,Email,No,
"Continuum Health Alliance, LLC",NJ,Business Associate,1328,04/01/2024,Hacking/IT Incident,Network Server,Yes,
Rutgers Robert Wood Johnson Medical School,NJ,Healthcare Provider,543,04/01/2024,Unauthorized Access/Disclosure,Email,No,
University of Tennessee Health Science Center,TN,Healthcare Provider,19353,04/01/2024,Hacking/IT Incident,Network Server,Yes,
"Otolaryngology Associates, LLC",IN,Healthcare Provider,316802,04/01/2024,Hacking/IT Incident,Network Server,No,
"Northern Virginia Oral, Maxillofacial & Implant Surgery ",VA,Healthcare Provider,4333,03/29/2024,Hacking/IT Incident,Network Server,No,
PRATT MRI LLC,KS,Business Associate,4265,03/29/2024,Loss,Other Portable Electronic Device,Yes,
Delta Health System,MS,Healthcare Provider,216532,03/29/2024,Hacking/IT Incident,Network Server,No,
Highmark,PA,Health Plan,6205,03/29/2024,Unauthorized Access/Disclosure,Paper/Films,No,
"Florida Pediatric Associates, LLC ",FL,Healthcare Provider,1104,03/28/2024,Hacking/IT Incident,Network Server,Yes,
"Strive Holdco, LLC",TX,Healthcare Provider,51477,03/28/2024,Unauthorized Access/Disclosure,Network Server,No,
Risas Dental & Braces,PA,Healthcare Provider,618189,03/28/2024,Hacking/IT Incident,Network Server,No,
UT Southwestern Medical Center,TX,Healthcare Provider,2045,03/27/2024,Unauthorized Access/Disclosure,Network Server,No,
Washington County Department of Human Services,PA,Healthcare Provider,13583,03/26/2024,Hacking/IT Incident,Network Server,No,
Pembina County Memorial Hospital,ND,Healthcare Provider,23811,03/25/2024,Hacking/IT Incident,Network Server,No,
Family Health Center ,MI,Healthcare Provider,33240,03/24/2024,Hacking/IT Incident,Network Server,No,
"Mary H. Makhlouf, DMD, MS, PA",NC,Healthcare Provider,1797,03/22/2024,Hacking/IT Incident,Network Server,No,
"Ethos, also known as Southwest Boston Senior Services",MA,Business Associate,14503,03/22/2024,Hacking/IT Incident,Network Server,Yes,
M&D Capital Premier Billing LLC,NY,Business Associate,284326,03/21/2024,Hacking/IT Incident,Network Server,Yes,
City of Conneaut,OH,Healthcare Provider,771,03/21/2024,Hacking/IT Incident,Email,No,
"Ezras Choilim Health Center, Inc.",NY,Healthcare Provider,59861,03/19/2024,Hacking/IT Incident,Network Server,No,
Valley Oaks Health ,IN,Healthcare Provider,50034,03/18/2024,Hacking/IT Incident,Network Server,No,
Andor Labs,NC,Healthcare Provider,500,03/18/2024,Theft,Laptop,No,
"Sycamore Rehabilitation Services, Inc.",IN,Healthcare Provider,3414,03/18/2024,Hacking/IT Incident,Network Server,No,
Aveanna Healthcare,GA,Healthcare Provider,65482,03/15/2024,Hacking/IT Incident,Email,No,
Bronson Healthcare Group,MI,Healthcare Provider,1597,03/13/2024,Unauthorized Access/Disclosure,Electronic Medical Record,No,
Plymouth Tube Company Employee Benefit Plan,IL,Health Plan,2652,03/13/2024,Hacking/IT Incident,Network Server,No,
A5 PHARMACY INC.,NY,Healthcare Provider,3000,03/13/2024,Hacking/IT Incident,Network Server,No,
Lindsay Municipal Hospital,OK,Healthcare Provider,500,03/13/2024,Hacking/IT Incident,Network Server,No,
CCM Health,MN,Healthcare Provider,84329,03/12/2024,Hacking/IT Incident,Network Server,No,
R1 RCM Inc.,IL,Business Associate,16121,03/11/2024,Hacking/IT Incident,Network Server,Yes,
Texas Health and Human Services ,TX,Health Plan,3392,03/11/2024,Unauthorized Access/Disclosure,Email,No,
"Rancho Family Medical Group, Inc.",CA,Healthcare Provider,10480,03/11/2024,Hacking/IT Incident,Network Server,Yes,
Access TeleCare,TX,Healthcare Provider,62669,03/08/2024,Hacking/IT Incident,Email,No,
"Orsini Pharmaceutical Services, LLC",IL,Healthcare Provider,1433,03/08/2024,Hacking/IT Incident,Email,No,
Dental Group of Amarillo,TX,Healthcare Provider,3821,03/06/2024,Hacking/IT Incident,Network Server,No,
Seaglass Chiropractic,NJ,Healthcare Provider,650,03/06/2024,Theft,"Laptop, Other Portable Electronic Device",No,
University of Wisconsin Hospitals and Clinics Authority ,WI,Healthcare Provider,85902,03/05/2024,Hacking/IT Incident,Email,No,
"Vail Summit Orthopaedics, LLC (“VSON”)",CO,Healthcare Provider,1138,03/04/2024,Hacking/IT Incident,Network Server,No,
Lake of the Woods County Social Services,MN,Healthcare Provider,537,03/04/2024,Hacking/IT Incident,Network Server,No,
Highland Health Systems,AL,Healthcare Provider,83543,02/29/2024,Hacking/IT Incident,Network Server,No,
"Ada Technologies, Inc. ",OH,Health Plan,2398,02/29/2024,Hacking/IT Incident,Network Server,No,
kmj Health Solutions,MI,Business Associate,2191,02/28/2024,Hacking/IT Incident,Network Server,Yes,
Oakland Community Health Network,MI,Health Plan,607,02/28/2024,Unauthorized Access/Disclosure,Email,No,
"Northeast Orthopedics and Sports Medicine, PLLC",NY,Healthcare Provider,177101,02/27/2024,Hacking/IT Incident,Network Server,No,
UNITE HERE ,NY,Business Associate,791273,02/23/2024,Hacking/IT Incident,Network Server,Yes,
"OrthopedicsNY, LLP",NY,Healthcare Provider,656086,02/23/2024,Hacking/IT Incident,Network Server,No,
Prague Regional Memorial Hospital ,OK,Healthcare Provider,1347,02/22/2024,Hacking/IT Incident,Email,No,
interventional Pain and Regenerative Medicine,TX,Healthcare Provider,2843,02/21/2024,Unauthorized Access/Disclosure,Paper/Films,No,
Anna Jaques Hospital a member of Beth Israel Health Incorporated,MA,Healthcare Provider,308829,02/20/2024,Hacking/IT Incident,Network Server,No,
"McKenzie County Healthcare System, Inc.",ND,Healthcare Provider,21000,02/16/2024,Unauthorized Access/Disclosure,Email,No,
Hospice of Huntington,WV,Healthcare Provider,9013,02/16/2024,Hacking/IT Incident,Network Server,No,
"Mental Health Center of North Central Alabama, Inc.",AL,Healthcare Provider,75667,02/16/2024,Hacking/IT Incident,Network Server,No,
"Employee Benefits Corporation of America and Benefit Design Group, Inc.",VA,Health Plan,38912,02/15/2024,Hacking/IT Incident,Network Server,No,
Amin Radiology d/b/a Citrus Diagnostic Center ,FL,Healthcare Provider,1273,02/15/2024,Hacking/IT Incident,Network Server,No,
Lena Pope Home Inc.,TX,Healthcare Provider,3954,02/15/2024,Hacking/IT Incident,Email,No,
Insurance ACE/Humana Inc.,KY,Health Plan,3480,02/14/2024,Unauthorized Access/Disclosure,Paper/Films,Yes,
"North Hill Needham, Inc., North Hill Home Health Care, Inc. and North Hill Employee Dental Plan",MA,Healthcare Provider,1096,02/14/2024,Hacking/IT Incident,Network Server,No,
"Biomatrix Specialty Pharmacy, LLC ",FL,Healthcare Provider,3640,02/13/2024,Hacking/IT Incident,Network Server,No,
"Lexington Health, Inc.",SC,Healthcare Provider,1994,02/12/2024,Hacking/IT Incident,"Email, Other",No,
May Institute ,MA,Healthcare Provider,3318,02/12/2024,Hacking/IT Incident,Network Server,No,
Tiegerman,NY,Healthcare Provider,19000,02/12/2024,Hacking/IT Incident,Network Server,No,
Insurance ACE/Humana Inc.,KY,Health Plan,9078,02/08/2024,Unauthorized Access/Disclosure,"Electronic Medical Record, Network Server, Other",No,
Spectrum Vision Partners,NY,Business Associate,500,02/02/2024,Hacking/IT Incident,Network Server,Yes,
Greater Cincinnati Behavioral Health Services ,OH,Healthcare Provider,50000,02/02/2024,Hacking/IT Incident,Network Server,No,
East Side Health District,IL,Healthcare Provider,559,02/02/2024,Hacking/IT Incident,Network Server,No,
Bloom Health Centers,MD,Healthcare Provider,1954,02/01/2024,Hacking/IT Incident,Email,No,
"Capital Health System, Inc.",NJ,Healthcare Provider,501,01/31/2024,Hacking/IT Incident,Network Server,No,
Crescent Community Health Center,IA,Healthcare Provider,20529,01/31/2024,Hacking/IT Incident,Email,No,
CNO ACE,IN,Health Plan,65295,01/26/2024,Hacking/IT Incident,Network Server,No,
INTEGRIS Health,OK,Healthcare Provider,2385646,01/26/2024,Hacking/IT Incident,Network Server,No,
"Des Moines Orthopaedic Surgeons, P.C.",IA,Business Associate,55055,01/23/2024,Hacking/IT Incident,Network Server,Yes,
Coastal Hospice & Palliative Care,MD,Healthcare Provider,29100,01/22/2024,Hacking/IT Incident,Network Server,No,
"AHS Management Company, Inc.",TN,Business Associate,23686,01/22/2024,Hacking/IT Incident,Network Server,Yes,
"Des Moines Orthopaedic Surgeons, P.C.",IA,Healthcare Provider,307864,01/22/2024,Hacking/IT Incident,Network Server,No,
Omaha Firefighters Healthcare Trust ,NE,Health Plan,3567,01/20/2024,Hacking/IT Incident,Email,No,
"Walker, Inc. d/b/a Walker Therapeutic & Educational Programs ",MA,Healthcare Provider,846,01/18/2024,Hacking/IT Incident,Email,No,
TGI Direct,MI,Business Associate,11556,01/17/2024,Hacking/IT Incident,Network Server,Yes,
Dickinson County Health Department,KS,Healthcare Provider,1063,01/17/2024,Unauthorized Access/Disclosure,Desktop Computer,No,
"HORNE, LLP",MS,Business Associate,170052,01/13/2024,Hacking/IT Incident,Network Server,Yes,
Azura Vascular Care,PA,Business Associate,348000,01/13/2024,Hacking/IT Incident,Network Server,Yes,
"Covenant Care California, LLC ",CA,Healthcare Provider,501,01/12/2024,Hacking/IT Incident,Network Server,No,
Family Healthcare Center,ND,Healthcare Provider,6457,01/11/2024,Hacking/IT Incident,Network Server,Yes,
Hampton-Newport News Community Services Board,VA,Healthcare Provider,44312,01/11/2024,Hacking/IT Incident,Network Server,No,
InHealth Technologies,CA,Healthcare Provider,12143,01/09/2024,Hacking/IT Incident,Network Server,No,
"Concentra Health Services, Inc.",TX,Healthcare Provider,3998163,01/09/2024,Hacking/IT Incident,Network Server,Yes,
"Psychological Holdings, PLLC d/b/a Senior PsychCare",TX,Healthcare Provider,75349,01/08/2024,Hacking/IT Incident,Network Server,No,
Catholic Heath Initiative Trinity Medical Center,OH,Healthcare Provider,797,01/08/2024,Hacking/IT Incident,Network Server,Yes,
Daleville Dental II LLC,AL,Healthcare Provider,500,01/05/2024,Hacking/IT Incident,Network Server,No,
Tampa Bay Surgical Group   ,FL,Healthcare Provider,1107,01/05/2024,Loss,Other Portable Electronic Device,No,
"Cooper Clinic, P.A. ",TX,Healthcare Provider,124341,01/05/2024,Hacking/IT Incident,Network Server,No,
"ConsensioHealth, LLC",WI,Business Associate,60871,01/04/2024,Hacking/IT Incident,Network Server,Yes,
"Amerigroup Iowa, Inc",IN,Business Associate,1023,01/03/2024,Unauthorized Access/Disclosure,Network Server,Yes,
Community Tri-County Healthcare,AL,Healthcare Provider,5809,01/02/2024,Hacking/IT Incident,Network Server,No,
"Electrostim Medical Services, Inc. d/b/A EMSI",FL,Healthcare Provider,542990,12/28/2023,Hacking/IT Incident,Network Server,No,
Medical Center Barbour,AL,Healthcare Provider,61014,12/27/2023,Hacking/IT Incident,Network Server,No,
"Mountain Dermatology Specialists, PC",CO,Healthcare Provider,2705,12/22/2023,Hacking/IT Incident,Email,No,
Kent County Community Mental Health Authority d/b/a Network180 ,MI,Healthcare Provider,59334,12/22/2023,Hacking/IT Incident,Email,No,
Fred Hutchinson Cancer Center,WA,Healthcare Provider,1840927,12/22/2023,Hacking/IT Incident,Network Server,No,
HealthEC LLC,NJ,Business Associate,4656293,12/21/2023,Hacking/IT Incident,Network Server,Yes,
First Choice Dental,WI,Healthcare Provider,1000,12/21/2023,Hacking/IT Incident,Network Server,No,
"Plaza Radiology, LLC",TN,Healthcare Provider,569022,12/20/2023,Hacking/IT Incident,"Desktop Computer, Network Server",No,
Marathon County Special Education,WI,Healthcare Provider,10079,12/20/2023,Hacking/IT Incident,Email,No,
"ESO Solutions, Inc. ",TX,Business Associate,2700000,12/18/2023,Hacking/IT Incident,Network Server,Yes,
Dallas County,TX,Healthcare Provider,501,12/18/2023,Hacking/IT Incident,Network Server,No,
"Primary Health & Wellness Center, LLC ",MD,Healthcare Provider,4792,12/17/2023,Hacking/IT Incident,Network Server,No,
"Erie Family Health Center, Inc. d/b/a Erie Family Health Centers",IL,Healthcare Provider,6351,12/16/2023,Hacking/IT Incident,Email,No,
"D'Youville Life and Wellness Community, Inc.",MA,Healthcare Provider,19691,12/14/2023,Hacking/IT Incident,Network Server,No,
Heart of Texas Behavioral Health Network ,TX,Healthcare Provider,63776,12/12/2023,Hacking/IT Incident,Network Server,No,
"Healix Infusion Therapy, LLC",TX,Business Associate,10277,12/11/2023,Hacking/IT Incident,Network Server,Yes,
Keenan & Associates,CA,Health Plan,4631,12/11/2023,Hacking/IT Incident,Network Server,No,
Health Alliance Hospital Mary's Avenue Campus,NY,Healthcare Provider,264197,12/11/2023,Hacking/IT Incident,Network Server,No,
"Independent Living Systems, LLC",FL,Healthcare Provider,19303,12/08/2023,Hacking/IT Incident,Network Server,No,
"Independent Living Systems, LLC",FL,Business Associate,123651,12/08/2023,Hacking/IT Incident,Network Server,Yes,
Akumin Operating Corp.,FL,Healthcare Provider,7127,12/06/2023,Hacking/IT Incident,Network Server,No,
Waterford Country School,CT,Healthcare Provider,500,12/05/2023,Hacking/IT Incident,Network Server,No,
The Children’s Home of Wyoming Conference,NY,Healthcare Provider,1111,12/01/2023,Hacking/IT Incident,Network Server,No,
"Community Healthcare Network, Inc. ",NY,Healthcare Provider,500,11/30/2023,Hacking/IT Incident,Network Server,No,
"F&E Aviation Holdings, Inc.",FL,Health Plan,3097,11/30/2023,Hacking/IT Incident,Network Server,No,
Chesapeake Regional Healthcare,VA,Healthcare Provider,31679,11/29/2023,Hacking/IT Incident,Network Server,Yes,
"W.P. Malone, Inc. d/b/a AllCare Pharmacy",AR,Healthcare Provider,16341,11/29/2023,Hacking/IT Incident,Network Server,No,
"Foursquare Healthcare, Ltd.",TX,Healthcare Provider,10890,11/27/2023,Hacking/IT Incident,Network Server,No,
Inline Plastics Corp.,CT,Health Plan,4853,11/27/2023,Hacking/IT Incident,Network Server,No,
"Equality Health, LLC",AZ,Healthcare Provider,9240,11/27/2023,Hacking/IT Incident,Email,No,
Morrison Community Hospital District,IL,Healthcare Provider,122488,11/23/2023,Hacking/IT Incident,Network Server,No,
"Molina Healthcare of Iowa, Inc.",IA,Business Associate,1647,11/22/2023,Hacking/IT Incident,Email,Yes,
"East River Medical Imaging, PC",NY,Healthcare Provider,605809,11/22/2023,Hacking/IT Incident,Network Server,No,
"TGI Direct, Inc.",MI,Business Associate,16113,11/21/2023,Hacking/IT Incident,Network Server,Yes,
"Detroit Chassis, LLC",MI,Health Plan,958,11/21/2023,Hacking/IT Incident,Network Server,No,
1st Source Bank,IN,Business Associate,1477,11/20/2023,Hacking/IT Incident,Network Server,Yes,
"CKF Addiction Treatment, Inc.",KS,Healthcare Provider,501,11/17/2023,Hacking/IT Incident,Email,No,
Community Dental,ME,Healthcare Provider,1523,11/17/2023,Hacking/IT Incident,Network Server,No,
"Community Health Network, Inc.",IN,Healthcare Provider,2271,11/17/2023,Hacking/IT Incident,"Email, Other",No,
Psychiatry Associates of Kansas City,KS,Healthcare Provider,18255,11/17/2023,Hacking/IT Incident,Network Server,No,
Wyoming County Community Health System,NY,Healthcare Provider,26000,11/16/2023,Hacking/IT Incident,Network Server,No,
"CareTree, Inc.",IL,Business Associate,1097,11/15/2023,Hacking/IT Incident,Network Server,Yes,
Woodfords Family Services,ME,Healthcare Provider,6691,11/10/2023,Hacking/IT Incident,Network Server,No,
Mariner Management Group ,OH,Healthcare Provider,1756,11/08/2023,Hacking/IT Incident,Network Server,No,
BBRx Pharmacy,NY,Healthcare Provider,501,11/07/2023,Hacking/IT Incident,Network Server,No,
Mannings 8th Ave Inc.,NY,Healthcare Provider,501,11/07/2023,Hacking/IT Incident,Network Server,No,
Confucius Pharmacy,NY,Healthcare Provider,501,11/07/2023,Hacking/IT Incident,Network Server,No,
"Pharmacy Group of Mississippi, LLC",MS,Healthcare Provider,13129,11/07/2023,Hacking/IT Incident,Network Server,No,
Wyndemere Senior Care LLC,IL,Healthcare Provider,6832,11/06/2023,Hacking/IT Incident,Network Server,No,
WellLife Network Inc.,NY,Healthcare Provider,501,11/06/2023,Hacking/IT Incident,Network Server,No,
Healthsoft LLC,GA,Business Associate,1000,11/06/2023,Hacking/IT Incident,Network Server,Yes,
South Austin Health Imaging LLC dba Longhorn Imaging Center,TX,Healthcare Provider,100643,11/03/2023,Hacking/IT Incident,Network Server,Yes,
"Youth and Shelter Services, Inc.",IA,Healthcare Provider,501,11/03/2023,Hacking/IT Incident,Network Server,No,
WACOSA,MN,Healthcare Provider,1380,11/03/2023,Hacking/IT Incident,Network Server,No,
"Mulkay Cardiology Consultants at Holy Name Medical Center, P.C.",NJ,Healthcare Provider,79582,11/03/2023,Hacking/IT Incident,Network Server,No,
"Postmeds, Inc.",CA,Healthcare Provider,2364359,10/30/2023,Hacking/IT Incident,Network Server,Yes,
Longhorn Village,TX,Healthcare Provider,1670,10/30/2023,Hacking/IT Incident,Email,No,
"Frederiksted Health Care, Inc.",,Healthcare Provider,600,10/30/2023,Hacking/IT Incident,Network Server,No,
Northern Iowa Therapy PC,IA,Business Associate,5100,10/29/2023,Hacking/IT Incident,Network Server,Yes,
"JDA eHealth Systems, Inc. d/b/a Parathon",IL,Business Associate,8099,10/27/2023,Hacking/IT Incident,Network Server,Yes,
Hospital Sisters Health System,IL,Business Associate,500,10/26/2023,Hacking/IT Incident,Network Server,Yes,
"University of Michigan, on behalf of certain HIPAA-covered functions of the University that operate as a HIPAA hybrid entity",MI,Healthcare Provider,61033,10/23/2023,Hacking/IT Incident,Network Server,No,
La Red Health Center,DE,Healthcare Provider,39759,10/20/2023,Hacking/IT Incident,Network Server,No,
McLaren Health Care,MI,Healthcare Provider,2103881,10/20/2023,Hacking/IT Incident,Network Server,No,
City of Philadelphia ,PA,Health Plan,501,10/20/2023,Hacking/IT Incident,Email,No,
"Hospital & Medical Foundation of Paris, Inc",IL,Healthcare Provider,16598,10/19/2023,Hacking/IT Incident,Network Server,Yes,
"Singing River Health System and its wholly owned subsidiary, Singing River Gulfport",MS,Healthcare Provider,501,10/18/2023,Hacking/IT Incident,Network Server,No,
BHI Energy Health and Welfare Benefits Plan,MA,Health Plan,4049,10/18/2023,Hacking/IT Incident,Network Server,No,
Premier Health Partners and wholly owned covered entities listed in description section below,OH,Healthcare Provider,10833,10/12/2023,Hacking/IT Incident,Network Server,No,
Fellowship Village,NJ,Healthcare Provider,501,10/08/2023,Hacking/IT Incident,Network Server,No,
Carle Health ,IL,Healthcare Provider,679,10/05/2023,Hacking/IT Incident,Network Server,Yes,
Region 4 South Mental Health Consortium,MN,Healthcare Provider,571,10/05/2023,Hacking/IT Incident,Network Server,No,
"Arietis Health, LLC",FL,Business Associate,1975066,09/29/2023,Hacking/IT Incident,Network Server,Yes,
"Physio Logic Medicine, PC",NY,Healthcare Provider,1280,09/29/2023,Hacking/IT Incident,Network Server,No,
International Business Machines Corporation,NY,Business Associate,630755,09/29/2023,Unauthorized Access/Disclosure,Other,Yes,
"Physio Logic Chiropractic and Physical Therapy, PLLC and Dr. Patty DiBlasio, PC",NY,Healthcare Provider,9580,09/29/2023,Hacking/IT Incident,Network Server,No,
"Acadia Health, LLC d/b/a Just Kids Dental",AL,Healthcare Provider,129463,09/27/2023,Hacking/IT Incident,Network Server,No,
"Entertainment Community Fund, dba Actors Fund Home",NJ,Healthcare Provider,1110,09/26/2023,Hacking/IT Incident,Network Server,No,
"AIDS Alabama, Inc.",AL,Healthcare Provider,1922,09/26/2023,Hacking/IT Incident,Network Server,No,
